DocName,FileName,EEBO,VID,STC,Status,main_author,field of work,movement,lifestyle,owner of,notable work,influenced by,British Museum person or institution ID,Oxford Dictionary of National Biography ID,WomenWriters ID,cause of death,country of citizenship,employer,ethnic group,image,member of,native language,occupation,place of burial,political party,position held,religion,sex or gender,spouse,unmarried partner,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author_original,Number of authors,Date,Title,Terms,Pages,Source,total_words,discrete_count,variance
K046500.000,K046500.000.txt,,,,Free,Richard Brinsley Sheridan,,,,,,,20881,25367.0,,,Kingdom of Ireland,,,Richard Sheridan.jpg,"1st United Kingdom Parliament, 2nd United Kingdom Parliament, 3rd United Kingdom Parliament, 4th United Kingdom Parliament",,"poet, politician, librettist, dramaturge, playwright",Westminster Abbey,Whigs,"Member of the 4th Parliament of the United Kingdom, Treasurer of the Navy, Member of Parliament in the Parliament of Great Britain, Member of the 1st Parliament of the United Kingdom, Member of the 2nd Parliament of the United Kingdom, Member of the 3rd Parliament of the United Kingdom, Member of the 4th Parliament of the United Kingdom, Member of the 17th Parliament of Great Britain, Member of the 18th Parliament of Great Britain, Member of the 15th Parliament of Great Britain, Member of the 16th Parliament of Great Britain",,male,"Elizabeth Ann Linley, Esther Jane Ogle",,Richard Brinsley Sheridan,,,,,,"Sheridan, Richard Brinsley, 1751-1816.",1.0,1779.0,"Verses to the memory of Garrick: Spoken as a monody, at the Theater Royal in Drury Lane.",,13.0,,996,538,0.5401606425702812
K046542.000,K046542.000.txt,,,,Free,Henry Carey,,baroque music,,,,,131851,4651.0,,hanging,Great Britain,,,Henry Carey.jpg,,,"poet, composer, writer",,,,,male,,,Henry Carey,,,,,,"Carey, Henry, 1687?-1743.",1.0,1785.0,Village courtship; Roger's courtship,,1.0,,196,120,0.6122448979591837
K046563.000,K046563.000.txt,,,,Free,Edward Gibbon,history,,,,The History of the Decline and Fall of the Roman Empire,Montesquieu,70301,10589.0,,peritonitis,Great Britain,,,Edward Emily Gibbon.jpg,Royal Society,,"historian, politician, classical scholar",England,Whigs,"Member of Parliament in the Parliament of Great Britain, Member of the 14th Parliament of Great Britain, Member of the 15th Parliament of Great Britain",Catholicism,male,,,Edward Gibbon,,,,,,"Gibbon, Edward, 1737-1794.",1.0,1779.0,A vindication of some passages in the fifteenth and sixteenth chapters of the History of the decline and fall of the Roman Empire: By the author.,,168.0,,33121,5237,0.15811720660608072
K046614.000,K046614.000.txt,,,,Free,Mary Wollstonecraft,"essay, gender studies",,,,"A Vindication of the Rights of Woman, Letters Written During a Short Residence in Sweden, Norway, and Denmark","Thomas Paine, Richard Price, Joseph Johnson",141870,10893.0,d1bc2e72-283f-45b8-ade0-7d908b7a1762,sepsis,Great Britain,,,Mary Wollstonecraft by John Opie (c. 1797).jpg,,,"writer, translator, philosopher, historian, novelist, essayist, governess, businessperson, travel writer, children's writer","St Pancras Old Church, St Peter's Church, Bournemouth",,,"deism, Anglicanism, Unitarianism",female,"William Godwin, Gilbert Imlay",Gilbert Imlay,Mary Wollstonecraft,,,,,,"Wollstonecraft, Mary, 1759-1797.",1.0,1792.0,A vindication of the rights of woman: with strictures on political and moral subjects. By Mary Wollstonecraft.,,469.0,,88526,7766,0.08772563992499378
K046628.000,K046628.000.txt,,,,Free,Francis Godolphin Waldron,,,,,,,,28449.0,,,,,,FG Waldron Gardiner.jpg,,,stage actor,,,,,male,,,Francis Godolphin Waldron,,,,,,"Waldron, F. G. (Francis Godolphin), 1744-1818.",1.0,1797.0,"The virgin queen, a drama in five acts; attempted as a sequel to Shakespeare's Tempest",,92.0,,12153,2867,0.23590882909569655
K046688.000,K046688.000.txt,,,,Free,Thomas Pennant,plant science,,,Downing,,,41545,21860.0,,,"Great Britain, Wales",,,Thomas Pennant.jpg,"Royal Society, Royal Swedish Academy of Sciences",,"botanist, ornithologist, zoologist, biologist, malacologist",,,,,male,,,Thomas Pennant,,,,,,"Pennant, Thomas, 1726-1798.",1.0,1771.0,Synopsis of quadrupeds,,412.0,,92665,9705,0.10473209949819241
K046707.000,K046707.000.txt,,,,Free,Joseph Addison,,,,,,,64087,156.0,,,,Magdalen College,,"Joseph Addison by Sir Godfrey Kneller, Bt.jpg",,,"politician, writer, playwright, poet, journalist, editor, librettist",Westminster Abbey,Whigs,"Member of Parliament in the Parliament of Great Britain, Member of Parliament in the Parliament of Ireland, Member of the Privy Council of Ireland, Member of the 2nd Parliament of Great Britain, Member of the 3rd Parliament of Great Britain, Member of the 4th Parliament of Great Britain, Member of the 5th Parliament of Great Britain",Anglicanism,male,Charlotte Addison,,Joseph Addison,,,,,,"Addison, Joseph, 1672-1719.",1.0,1715.0,"To her Royal Highness the Princess of Wales, with the tragedy of Cato. Nov. 1714. To Sir Godfrey Kneller, on his picture of the King",,10.0,,1022,552,0.5401174168297456
K046809.000,K046809.000.txt,,,,Free,"Famine, Citizen.",,,,,,,,,,,,,,,,,,,,,,male,,,"Famine, Citizen.",,,,,,"Famine, Citizen.",1.0,1793.0,Le tocsin! or the address of Citizen Famine!!! to the oppressors of his counry. [sic],,8.0,,1320,552,0.41818181818181815
K046839.000,K046839.000.txt,,,,Free,William Kenrick,,,,,,,149492,15416.0,,,Great Britain,,,William Kenrick.jpg,,,"writer, playwright, translator",,,,,male,,,William Kenrick,,,,,,"Kenrick, W. (William), 1725?-1779.",1.0,1748.0,The town. A satire. By W. Kenrick,,23.0,,2653,1021,0.3848473426309838
K046841.000,K046841.000.txt,,,,Free,Hannah Cowley,,,,,"A Bold Stroke for a Husband, A Day in Turkey; or, the Russian Slaves, Albina, a Tragedy, The Belle's Stratagem, A School For Greybeards; or, the Mourning Bride, Edwina, The works of Mrs. Cowley; dramas and poems, More Ways Than One, The Fate of Sparta, The Maid of Arragon, The Poetry of Anna Matilda, The Runaway, The Scottish Village, The Siege of Acre, The Town Before You, The World as it Goes, Which is the Man?, Who’s the Dupe?, Second Thoughts are Best, Invocation to Horror, Ode to Indifference",,23875,6500.0,,liver failure,"United Kingdom of Great Britain and Ireland, Great Britain",,,Hannah cowley c.jpg,Accademia della Crusca,,"poet, playwright, writer",,,,,female,,,Hannah Cowley,,,,,,"Cowley, Mrs. (Hannah), 1743-1809.",1.0,1795.0,"The town before you, a comedy: as acted at the Theater Royal, Covent Garden. By Mrs. Cowley.",,115.0,,25976,3766,0.14497998152140437
K046880.000,K046880.000.txt,,,,Free,Nicholas Rowe,,,,,,,77763,24203.0,,,Great Britain,,,Nicholas Rowe from NPG.jpg,,,"playwright, poet, writer, literary historian, poet lawyer",Westminster Abbey,,Poet Laureate of the United Kingdom,,male,"Anne Devenish, Antonia Parsons",,Nicholas Rowe,,,,,,"Row, Nicholas, 1674-1718.",1.0,1715.0,The tragedy of the Lady Jane Gray: As it is acted at the Theater Royal in Drury Lane. By N. Row Esquire;.,,79.0,,18980,3423,0.1803477344573235
K046899.000,K046899.000.txt,,,,Free,Thomas Francklin,,,,,,,,10080.0,,,,,,,,,"journalist, translator",,,,Anglicanism,male,,,Thomas Francklin,,,,,,"Francklin, Thomas, 1721-1784.",1.0,1753.0,"Translation; a poem: By Thomas Francklin, ...",,17.0,,2751,1165,0.42348237004725553
K046926.000,K046926.000.txt,,,,Free,"Bellinger, Francis, d. 1721.",,,,,,,,,,,,,,,,,,,,,,male,,,"Bellinger, Francis, d. 1721.",,,,,,"Bellinger, Francis, d. 1721.",1.0,1721.0,"A treatise concerning the smallpox: In which a plain and easy method of curing that disease under its most direful symptoms, is discovered. ... In a letter, written in the year 1716, to the learned Dr. John Bateman, ... by F. Bellinger, ...",,49.0,,10508,2161,0.20565283593452607
K046933.000,K046933.000.txt,,,,Free,Friedrich Hoffmann,,,,,,,,,,,Germany,University of Halle-Wittenberg,,Friedrich Hoffmann.jpg,"Royal Society, German Academy of Sciences Leopoldina, Saint Petersburg Academy of Sciences, Royal Prussian Academy of Sciences, Russian Academy of Sciences",,"physician, university teacher, chemist, pediatrician",Stadtgottesacker,,,,male,,,Friedrich Hoffmann,,,,,,"Hoffmann, Friedrich, 1660-1742.",1.0,1754.0,"A treatise of the extraordinary virtues and effects of asses milk, in the cure of various diseases, particularly the gout, scurvy, and nervous disorders: ... Translated from the Latin of the celebrated Frederick Hoffman, ...",,59.0,,10201,2101,0.20596019998039408
K047002.000,K047002.000.txt,,,,Free,Samuel Jackson Pratt,,,,,,,151214,22710.0,,,,,,Samuel Jackson Pratt.jpg,,,"novelist, poet, bookseller",,,,,male,Charlotte Melmoth,,Samuel Jackson Pratt,,,,,,"Pratt, Mr. (Samuel Jackson), 1749-1814.",1.0,1786.0,"The triumph of benevolence: occasioned by the national design of erecting a monument to John Howard, Esquire.",,43.0,,10489,2581,0.24606730860901896
K047007.000,K047007.000.txt,,,,Free,Thomas Warton,,,,,,,155414,28799.0,,,Great Britain,University of Oxford,,Thomaswarton.jpg,,,"writer, poet, historian, literary critic, literary historian",,,Poet Laureate of the United Kingdom,Anglicanism,male,,,Thomas Warton,,,,,,"Warton, Thomas, 1728-1790.",1.0,1749.0,"The triumph of Isis: a poem. Occasioned by Isis, an elegy.",,15.0,,1979,990,0.5002526528549772
K047175.000,K047175.000.txt,,,,Free,Hannah More,"poetry, essay",,,,Thoughts on the Importance of the Manners of the Great to General Society,,39360,19179.0,1bba70db-d114-4950-bea0-234faf6235bc,,"United Kingdom of Great Britain and Ireland, Great Britain",,,HannahMore.jpg,Blue Stockings Society,,"writer, poet, essayist, philanthropist, abolitionist",Somerset,,,Anglicanism,female,,,Hannah More,,,,,,"More, Hannah, 1745-1833.",1.0,1796.0,"Turn the carpet; or, the two weavers: a new song in a dialogue between Dick and John.",,7.0,,796,382,0.4798994974874372
K047209.000,K047209.000.txt,,,,Free,Hannah More,"poetry, essay",,,,Thoughts on the Importance of the Manners of the Great to General Society,,39360,19179.0,1bba70db-d114-4950-bea0-234faf6235bc,,"United Kingdom of Great Britain and Ireland, Great Britain",,,HannahMore.jpg,Blue Stockings Society,,"writer, poet, essayist, philanthropist, abolitionist",Somerset,,,Anglicanism,female,,,Hannah More,,,,,,"More, Hannah, 1745-1833.",1.0,1796.0,The two gardeners,,7.0,,752,399,0.5305851063829787
K047211.000,K047211.000.txt,,,,Free,Edmund Burke,,"liberal conservatism, counter-revolutionary",,,"Reflections on the Revolution in France, A Philosophical Enquiry into the Origin of Our Ideas of the Sublime and Beautiful","Aristotelis, Cicero, Church Fathers, Richard Hooker, Montesquieu, William Blackstone, John Locke, David Hume",,4019.0,,,Kingdom of Ireland,University of Glasgow,,Edmund Burke by James Northcote.JPG,,,"politician, philosopher, writer",,Whigs,"Member of Parliament in the Parliament of Great Britain, Member of the 12th Parliament of Great Britain, Member of the 13th Parliament of Great Britain, Member of the 14th Parliament of Great Britain, Member of the 15th Parliament of Great Britain, Member of the 16th Parliament of Great Britain, Member of the 17th Parliament of Great Britain",Church of Ireland,male,Jane Mary Nugent,,Edmund Burke,,,,,,"Burke, Edmund, 1729-1797.",1.0,1796.0,Two letters addressed to a member of the present Parliament: on the proposals for peace with the regicide directory of France. By the Right Hon. Edmund Burke.; Thoughts on the prospect of a regicide peace,,189.0,,44283,5710,0.1289433868527426
K047221.000,K047221.000.txt,,,,Free,Edmund Burke,,"liberal conservatism, counter-revolutionary",,,"Reflections on the Revolution in France, A Philosophical Enquiry into the Origin of Our Ideas of the Sublime and Beautiful","Aristotelis, Cicero, Church Fathers, Richard Hooker, Montesquieu, William Blackstone, John Locke, David Hume",,4019.0,,,Kingdom of Ireland,University of Glasgow,,Edmund Burke by James Northcote.JPG,,,"politician, philosopher, writer",,Whigs,"Member of Parliament in the Parliament of Great Britain, Member of the 12th Parliament of Great Britain, Member of the 13th Parliament of Great Britain, Member of the 14th Parliament of Great Britain, Member of the 15th Parliament of Great Britain, Member of the 16th Parliament of Great Britain, Member of the 17th Parliament of Great Britain",Church of Ireland,male,Jane Mary Nugent,,Edmund Burke,,,,,,"Burke, Edmund, 1729-1797.",1.0,1778.0,Two letters from Mr. Burke to gentlemen in the city of Bristol: on the bills depending in parliament relative to the trade of Ireland.,,34.0,,4612,1168,0.2532523850823938
K047225.000,K047225.000.txt,,,,Free,Edmund Burke,,"liberal conservatism, counter-revolutionary",,,"Reflections on the Revolution in France, A Philosophical Enquiry into the Origin of Our Ideas of the Sublime and Beautiful","Aristotelis, Cicero, Church Fathers, Richard Hooker, Montesquieu, William Blackstone, John Locke, David Hume",,4019.0,,,Kingdom of Ireland,University of Glasgow,,Edmund Burke by James Northcote.JPG,,,"politician, philosopher, writer",,Whigs,"Member of Parliament in the Parliament of Great Britain, Member of the 12th Parliament of Great Britain, Member of the 13th Parliament of Great Britain, Member of the 14th Parliament of Great Britain, Member of the 15th Parliament of Great Britain, Member of the 16th Parliament of Great Britain, Member of the 17th Parliament of Great Britain",Church of Ireland,male,Jane Mary Nugent,,Edmund Burke,,,,,,"Burke, Edmund, 1729-1797.",1.0,1797.0,"Two letters on the conduct of our domestic parties, with regard to French politics: including ""Observations on the conduct of the minority, in the session of M.DCC.XCIII."" By the late Right Hon. Edmund Burke.",,196.0,,35497,4730,0.13325069724202046
